DB_ARTICLE	DB_BRAND	ORIG_ARTICLE	ORIG_BRAND
2034	КРЕПАВТО	2034	Mannol
easns002	NTY	EAS-NS-002	NTY
trk1677	TORK	TRK1677	Tork
fbs32/12	NORMA	FBS32/12	Norma
79289	OSSCA	79289	Auger
hzp-fr-004a	NTY	HZP-FR-004A	NTY
31053501214	РЗИ	31053501214	Zommer
6107	СЭВИ	6107	Liqui Moly
5500238	KAMOKA	5500-238	Metaco
aw-5in-4000tx/e	AVTO.WORLD	AW-5IN-4000TX/E	Avto.World
-4101	VMPAUTO	4101	ВМПАвто
20673	ROSTECO	20673	Sidem
22499	ROSTECO	22499	Rosteco
3501104xky00a	GREAT WALL	3501104XKY00A	OE Great Wall
t11-2909061	JETOUR	T112909061	OE Chery
21155	ROSTECO	21155	Rosteco
3160-6105094	UAZ	31606105094	OE UAZ
bs0259	BLITZ	BS0259	Blitz
hpq1521xq	KRAUF	HPQ1521XQ	Krauf
tha1014	TATSUMI	THA1014	Tatsumi
1011	РТИ-СЕРВИС	1011	ВМПАвто
2319	ГПЗ	2319	Liqui Moly
4801003083	CHERY	4801003083	OE Chery
5522002nuq	DEPO	552-2002N-UQ	Depo
6432785	ALKAR	6432785	Alkar
adshb-a4iir-kit	FEBEST	ADSHB-A4IIR-KIT	Febest
brcvj143	BRAVE	BR.CVJ.1.43	Brave
w00160e	KRAFTTECH	W00160E	Krafttech
w01225e9	KRAFTTECH	W01225E9	Krafttech
w01225h9	KRAFTTECH	W01225H9	Krafttech
w02210e9	KRAFTTECH	W02210E9	Krafttech
w03190c	KRAFTTECH	W03190C	Krafttech
w03220g	KRAFTTECH	w03220g	Krafttech
w04215h9	KRAFTTECH	W04215H9	Krafttech
w04228i	KRAFTTECH	W04228I	Krafttech
w06200a	KRAFTTECH	W06200A	Krafttech
w07215f	KRAFTTECH	W07215F	Krafttech
w07228a	KRAFTTECH	W07228A	Krafttech
w08190a	KRAFTTECH	W08190A	Krafttech
w11215a	KRAFTTECH	w11215a	Krafttech
w19200c9	KRAFTTECH	w19200c9	Krafttech
w19200i9	KRAFTTECH	W19200I9	Krafttech
w20200a9	KRAFTTECH	W20200A9	Krafttech
w20200b9	KRAFTTECH	W20200B9	Krafttech
w22200e9	KRAFTTECH	W22200E9	Krafttech
-22017	FEBI BILSTEIN	22017	Rosteco
1020639sx	STELLOX	10-20639-SX	Stellox
cr4426am	KING	CR4426AM	King Bearings
ha0327	MOTORHERZ	HA0327	Motorherz
hzphy504a	NTY	HZP-HY-504A	NTY
sdn6796pn	KRAUF	SDN6796PN	Krauf
trk3222	TORK	TRK3222	Tork
6441265	ALKAR	6441265	Alkar
93129	MEAT & DORIA	93129	Meat&Doria
1000010125	JRONE	1000010125	Jrone
1000030160	JRONE	1000030160	Jrone
1300016026b	JRONE	1300016026B	Jrone
jtc-d30pfa	JTC	JTC-D30PFA	JTC
jtc-zn22	JTC	JTC-ZN22	JTC
-4pk775	BG AUTOMOTIVE	4PK-775	Masuma
0499114sx	STELLOX	04-99114-SX	Stellox
3104166050	YENMAK	31-04166-050	Yenmak
145-125	BOSAL	145-125	Bosal
sgc7112	SEGMATIC	SGC7112	Segmatic
tef1560	TATSUMI	TEF1560	Tatsumi
110384	GRASS	110384	GraSS
a438	TEKNOROT	A-438	Teknorot
m8010712	MARSHALL	M8010712	Marshall
tef1089	TATSUMI	TEF1089	Tatsumi
pc1007050	UNITED MOTORS	PC1007-050	United Motors
tw008201000	UNITED MOTORS	TW0082-01-000	United Motors
a116gn3501054	CHERY	A116GN3501054	OE Chery
0101-013	ASVA	0101013	Vaden
0101-037	ASVA	0101037	Vaden
0101-057	ASVA	0101057	Vaden
0112-aca2d	ASVA	0112-ACA2D	ASVA
0112-zre150rh	ASVA	0112-ZRE150RH	ASVA
0120-gx110l	ASVA	0120-GX110L	ASVA
0123-027	ASVA	0123-027	Febest
0123-204	ASVA	0123-204	Febest
0125-1acv40	ASVA	0125-1ACV40	Febest
0125-3acv40	ASVA	0125-3ACV40	Febest
0125-4acv40	ASVA	0125-4ACV40	Febest
0125-710	ASVA	0125-710	Febest
0125-aca30rh	ASVA	0125-ACA30RH	Febest
0203-b15wdr	ASVA	0203-B15WDR	ASVA
0220-j31	ASVA	0220-J31	Febest
0223-k12f	ASVA	0223-K12F	Febest
0225-j32r1	ASVA	0225-J32R1	Febest
0225-j32r2	ASVA	0225-J32R2	Febest
0323-rbf	ASVA	0323-RBF	Febest
0325-ra3	ASVA	0325-RA3	Febest
0325-reup	ASVA	0325-REUP	ASVA
0407-dar	ASVA	0407-DAR	ASVA
0423-010	ASVA	0423-010	Febest
0424-012	ASVA	04.24.012	Trucktec
0520-065	ASVA	0520-065	Febest
0520-demn	ASVA	0520-DEMN	Febest
0523-004	ASVA	0523-004	Febest
0523-mz3r	ASVA	0523-MZ3R	Febest
70311	ASAM	70311	Auger
0801-b13dif1	ASVA	0801-B13DIF1	ASVA
1101-capr5	ASVA	1101-CAPR5	ASVA
1111-001	ASVA	111100-1	GraSS
1123-001	ASVA	1123-001	Febest
1125-capr	ASVA	1125-CAPR	ASVA
1201-cd1	ASVA	1201-CD1	ASVA
fd-f2b	ASVA	FD-F2B	ASVA
1223-por	ASVA	1223-POR	Febest
1225-xmr2	ASVA	1225-XMR2	ASVA
1401-001	ASVA	140-1001	Ween
1401-002	ASVA	140-1002	Ween
1422-kyr	ASVA	1422-KYR	Febest
1624-204fl	ASVA	1624-204FL	ASVA
1701-xc90r5	ASVA	1701-XC90R5	ASVA
2001-001	ASVA	20.01.001	Trucktec
2112-ca20dgat	ASVA	2112-CA20DGAT	ASVA
70312	ASAM	70312	Asam
2325-003	ASVA	2325-003	Febest
4012-001	ASVA	4012001	Vaden
ad-8kf	ASVA	AD-8KF	ASVA
ad-8r	ASVA	AD-8R	ASVA
adwh-a6mf85-kit	ASVA	ADWH-A6MF85-KIT	ASVA
akd-01204	AKYOTO	AKD-01204	Akyoto
akd-0957	AKYOTO	AKD-0957	Akyoto
a11103c3	FENOX	A11103C3	Fenox
a12012c3	FENOX	A12012C3	Fenox
a12023o7	FENOX	A12023O7	Fenox
a12068	FENOX	A12068	Fenox
a21001	FENOX	A21001	Fenox
a21002	FENOX	A21002	Azumi
a21011	FENOX	A21011	Fenox
a21027	FENOX	A21027	Fenox
a21103c3	FENOX	A21103C3	Fenox
a22005	FENOX	A22005	Fenox
a22007	FENOX	A22007	Fenox
a22009	FENOX	A22009	Fenox
a22017	FENOX	A22017	Azumi
a22019	FENOX	A22019	Fenox
a22021	FENOX	A22021	Fenox
a22023	FENOX	A22023	Fenox
a22030	FENOX	A22030	Fenox
a22043	FENOX	A22043	Fenox
a22046	FENOX	A22046	Fenox
a22048	FENOX	A22048	Fenox
a22056	FENOX	A22056	Fenox
a22063	FENOX	A22063	Fenox
a22066	FENOX	A22066	Fenox
a22094	FENOX	A22094	Fenox
a22132	FENOX	A22132	Fenox
a22166	FENOX	A22166	Fenox
a22167	FENOX	A22167	Fenox
a22179	FENOX	A22179	Fenox
a22187	FENOX	A22187	Fenox
a22382	FENOX	A22382	Fenox
a22616	FENOX	A22616	Fenox
a31001	FENOX	A31001	Fenox
a31066c3	FENOX	A31066C3	Fenox
a51004	FENOX	A51004	JS Asakashi
a51005	FENOX	A51005	Fenox
a51006	FENOX	A51006	Fenox
a51008	FENOX	A51008	Fenox
a51009	FENOX	A51009	Fenox
a51022	FENOX	A51022	Fenox
a51026	FENOX	A51026	Azumi
a51028	FENOX	A51028	Fenox
a51029	FENOX	A51029	Fenox
a51039	FENOX	A51039	Fenox
a51047	FENOX	A51047	Fenox
a51104	FENOX	A51104	Fenox
a51120	FENOX	A51120	Fenox
a51232	FENOX	A51232	Fenox
a51233	FENOX	A51233	Fenox
a51241	FENOX	A51241	Fenox
a51244	FENOX	A51244	Fenox
a51249	FENOX	A51249	Fenox
a52074	FENOX	A52074	Fenox
a61002	FENOX	A61002	Fenox
a61006	FENOX	A61006	Fenox
a61007	FENOX	A61007	Fenox
a61014	FENOX	A61014	Fenox
a61020	FENOX	A61020	Fenox
a61022	FENOX	A61022	Fenox
a61028	FENOX	A61028	Fenox
a61029	FENOX	A61029	Fenox
a61031	FENOX	A61031	Fenox
a61033	FENOX	A61033	Fenox
a61038	FENOX	A61038	Fenox
a61039	FENOX	A61039	Fenox
a61041	FENOX	A61041	Fenox
a61044	FENOX	A61044	Fenox
a61046	FENOX	A61046	Fenox
a61050	FENOX	A61050	Fenox
a61051	FENOX	A61051	Fenox
a61073	FENOX	A61073	Fenox
a61075	FENOX	A61075	Fenox
a61201	FENOX	A61201	Fenox
a61202	FENOX	A61202	Fenox
a61203	FENOX	A61203	Fenox
a61212	FENOX	A61212	Fenox
a61213	FENOX	A61213	Fenox
a61214	FENOX	A61214	Fenox
a61215	FENOX	A61215	Fenox
a61221	FENOX	A61221	Fenox
a61226	FENOX	A61226	Fenox
